A Balloon Ride to the Edge of Space (Discover Magazine),http://news.feedzilla.com/en_us/stories/science/420719400?client_source=api&format=json,"A sky-high balloon ride will soon be able to take you to the top of the
atmosphere.

"
A New Edition of the Journal of Applied Research in Intellectual Disabilities is Available (bioethicscom),http://news.feedzilla.com/en_us/stories/science/420974690?client_source=api&format=json,"JARID (vol. 28, no. 1., January 2015) is now available by subscription only:
""Health Inequity in People with Intellectual Disabilities: From Evidence to
Action Applying an Appreciative Inquiry Approach"" Jenneken Naaldenberg, et al.
""Health and Disability: Partnerships in Health Care"" … Read More

"
AP Test's Recursion Examples: An Exercise In Awkardness,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/8LhJzR3Wz5U/story01.htm,"theodp writes Yet another example of how AP exams are loaded with poor coding practices,"" quipped Alfred Thompson, referring to a recursive code example that prints the numbers 0 to 6, which was posted to the (closed) AP Computer Science Facebook group. ""We are often forced to use code examples that are not ideal coding practice,"" Thompson notes. ""We do that to make things clear and to demonstrate specific concepts in a sort of isolation that we might not normally use. We seem to do that a lot with recursion because the examples that require recursion tend to be fairly complex."" So, while asking students to use recursion instead of a loop to print '0123456' serves the purpose of teaching recursion, Thompson opines that it's also a poor example of code practice. ""Someone raised on functional programming where recursion is a pretty standard way of doing looping might disagree of course,"" he adds. ""There is a saying that when all you have is a hammer all your problems look like nails. This seems, in a way, to be the case with recursion and loops. If your first tool of choice (or what you have learned first) for iteration is loops you tend not to think of recursion as a solution. Similarly if you start with recursion (as is common with functional programming) you are a lot more likely to look at recursion as a tool for iteration."" So, do you tend to embrace or eschew recursion in your programming?<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=AP+Test's+Recursion+Examples%3A+An+Exercise+In+Awkardness%3A+http%3A%2F%2Fbit.ly%2F1DThznr""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fdevelopers.slashdot.org%2Fstory%2F15%2F02%2F08%2F1935257%2Fap-tests-recursion-examples-an-exercise-in-awkardness%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://developers.slashdot.org/story/15/02/08/1935257/ap-tests-recursion-examples-an-exercise-in-awkardness?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://developers.slashdot.org/story/15/02/08/1935257/ap-tests-recursion-examples-an-exercise-in-awkardness?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6934629&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432ca62f/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611586523/u/49/f/647410/c/35028/s/432ca62f/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/8LhJzR3Wz5U"" height=""1"" width=""1"" alt=""""/>"
Asian Glow May Indicate Lower Pain Tolerance (Scientific American),http://news.feedzilla.com/en_us/stories/science/421085696?client_source=api&format=json,"One of the body's alcohol-busting enzymes may play a role in pain relief


-- Read more on ScientificAmerican.com

"
Ask Slashdot: Automated Tool To OCR CCGs Like Magic: the Gathering?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/bGVVRdJiwOY/story01.htm,"An anonymous reader writes I buy massive collections of trading card games, Magic:The Gathering, Yu-Gi-Oh!, Pokemon, Weiss Schwarts, Cardfight Vanguard, etc, etc. And I've gotten the process fairly streamlined as far as price checking, grading, sorting, etc. Part of my process involves using higher-quality web cams positioned over the top of the cards which are in a stack. I keep a cam window on the screen to show a larger, brighter version of the card. What I'm wondering: Is there is an OCR solution out there that will look at the same spot on the screen, capture, ocr, dump to clipboard, etc.? I've tried several open source solutions but none of them quite fit my needs. What I'd really like is to be able to hit a hotkey, and have my clipboard populated with the textual data of the graphics in a pre-set x,y window range. All this should be done via a hotkey. I may be asking for a lot, but then again, I'm sure someone out there has had need of this type of set-up before. Anyone have any recommendations?<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Ask+Slashdot%3A+Automated+Tool+To+OCR+CCGs+Like+Magic%3A+the+Gathering%3F%3A+http%3A%2F%2Fbit.ly%2F1ziFqc9""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fask.slashdot.org%2Fstory%2F15%2F02%2F06%2F2355256%2Fask-slashdot-automated-tool-to-ocr-ccgs-like-magic-the-gathering%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://ask.slashdot.org/story/15/02/06/2355256/ask-slashdot-automated-tool-to-ocr-ccgs-like-magic-the-gathering?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://ask.slashdot.org/story/15/02/06/2355256/ask-slashdot-automated-tool-to-ocr-ccgs-like-magic-the-gathering?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6919787&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4326c9c5/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/219132803858/u/49/f/647410/c/35028/s/4326c9c5/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/bGVVRdJiwOY"" height=""1"" width=""1"" alt=""""/>"
Ask Slashdot: Is There a Web Development Linux Distro?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/MsIFuLWL0dQ/story01.htm,"Qbertino writes I've been a linux user for more than 15 years now and in the last ten I've done basically all my non-trivial web development on Linux. SuSE in the early days, after that either Debian or, more recently, Ubuntu, if I want something to click on. What really bugs me is, that every time I make a new setup, either as a virtual machine, on concrete hardware or a remote host, I go through 1-2 hours of getting the basics of a web-centric system up and running. That includes setting PHP config options to usable things, setting up vhosts on Apache (always an adventure), configging mod_rewrite, installing extra CLI stuff like Emacs (yeah, I'm from that camp) walking through the basic 10-15 steps of setting up MySQL or some other DB, etc. ... You get the picture. What has me wondering is this: Since Linux is deeply entrenched in the field of server-side web, with LAMP being it's powerhouse, I was wondering if there aren't any distros that cover exactly this sort of thing. You know, automatic allocation of memory in the runtime settings, ready-made Apache http/https/sftp/ftp setup, PHP all ready to go, etc. What are your experiences and is there something that covers this? Would you think there's a need for this sort of thing and would you base it of Debian or something else? If you do web-dev, how do you do it? Prepareted scripts for setup? Anything else? ... Ideas, unkown LAMP distros and opinions please.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Ask+Slashdot%3A+Is+There+a+Web+Development+Linux+Distro%3F%3A+http%3A%2F%2Fbit.ly%2F1yX3iTE""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fask.slashdot.org%2Fstory%2F15%2F02%2F08%2F0650246%2Fask-slashdot-is-there-a-web-development-linux-distro%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://ask.slashdot.org/story/15/02/08/0650246/ask-slashdot-is-there-a-web-development-linux-distro?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://ask.slashdot.org/story/15/02/08/0650246/ask-slashdot-is-there-a-web-development-linux-distro?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6931947&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432c4e54/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611567477/u/49/f/647410/c/35028/s/432c4e54/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/MsIFuLWL0dQ"" height=""1"" width=""1"" alt=""""/>"
Building New Computers That Function Like Brains [Video] (Scientific American),http://news.feedzilla.com/en_us/stories/science/420854506?client_source=api&format=json,"A computer scientist explains new electronic components that could create
giant leaps forward in computer speed and energy efficiency


-- Read more on ScientificAmerican.com

"
California firefighters save horse stuck in outdoor bathtub (APN),http://news.feedzilla.com/en_us/stories/science/421004824?client_source=api&format=json,"Firefighters in Northern California rescued a horse that got stuck in an
outdoor bathtub.Sacramento Metropolitan Fire District Capt. Michelle Eidam
says the horse was dancing around in her stall to protect the bathtub used as
her...

"
Canada to Allow Doctor-Assisted Suicide (bioethicscom),http://news.feedzilla.com/en_us/stories/science/420810995?client_source=api&format=json,"(BBC) - Canada's Supreme Court has ruled that doctors may help patients who
have severe and incurable medical conditions to die, overturning a 1993 ban.
In a unanimous decision, the court said that the law impinged on Canadians'
rights.

"
Canadian Supreme Court Rules Ban On Assisted Suicide Unconstitutional,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/3BPqOPbq0Hk/story01.htm,"BarbaraHudson writes with word that Canada's Supreme Court has issued a strong statement in defense of Canadians' right to choose assisted suicide: [A] judgment, which is unsigned to reflect the unanimous institutional weight of the court, says the current ban on assisted suicide infringes on all three of the life, liberty and security of person provisions in Section 7 of the Charter of Rights and Freedoms. It does not limit physician-assisted death to those suffering a terminal illness. The court agreed with the trial judge ""that a permissive regime with properly designed and administered safeguards was capable of protecting vulnerable people from abuse and error. While there are risks, to be sure, a carefully designed and managed system is capable of adequately addressing them."" Parliament has one year to enact new legislation modifying the Criminal Code to conform to the judgment.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Canadian+Supreme+Court+Rules+Ban+On+Assisted+Suicide+Unconstitutional%3A+http%3A%2F%2Fbit.ly%2F1CHEw04""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F02%2F08%2F0733229%2Fcanadian-supreme-court-rules-ban-on-assisted-suicide-unconstitutional%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/02/08/0733229/canadian-supreme-court-rules-ban-on-assisted-suicide-unconstitutional?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/15/02/08/0733229/canadian-supreme-court-rules-ban-on-assisted-suicide-unconstitutional?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6932213&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432b1d90/sc/8/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/a2.htm""><img src=""http://da.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611587864/u/49/f/647410/c/35028/s/432b1d90/sc/8/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/3BPqOPbq0Hk"" height=""1"" width=""1"" alt=""""/>"
